,PFK,PFL,PGI,PGK,PGL,ACALD,AKGt2r,PGM,PIt2r,ALCD2x,ACALDt,ACKr,PPC,ACONTa,ACONTb,ATPM,PPCK,ACt2r,PPS,ADK1,AKGDH,ATPS4r,PTAr,PYK,BIOMASS_Ecoli_core_w_GAM,PYRt2,CO2t,RPE,CS,RPI,SUCCt2_2,CYTBD,D_LACt2,ENO,SUCCt3,ETOHt2r,SUCDi,SUCOAS,TALA,THD2,TKT1,TKT2,TPI,EX_ac_e,EX_acald_e,EX_akg_e,EX_co2_e,EX_etoh_e,EX_for_e,EX_fru_e,EX_fum_e,EX_glc__D_e,EX_gln__L_e,EX_glu__L_e,EX_h_e,EX_h2o_e,EX_lac__D_e,EX_mal__L_e,EX_nh4_e,EX_o2_e,EX_pi_e,EX_pyr_e,EX_succ_e,FBA,FBP,FORt2,FORt,FRD7,FRUpts2,FUM,FUMt2_2,G6PDH2r,GAPD,GLCpts,GLNS,GLNabc,GLUDy,GLUN,GLUSy,GLUt2r,GND,H2Ot,ICDHyr,ICL,LDH_D,MALS,MALt2_2,MDH,ME1,ME2,NADH16,NADTRHD,NH4t,O2t,PDH
"('Fructose',)",9.789458863898291,17.804674217935325,-0.04339090469574171,-19.437336380718634,0.0,-8.279455380486587,0.0,-19.12068860791459,0.778644493191286,-8.279455380486588,0.0,-8.503585277961314,0.6065413487615053,0.22836315646942595,0.22836315646942598,8.39,0.0,-8.503585277961314,0.0,0.0,0.0,-5.452052576810896,8.503585277961314,8.404273021945494,0.21166294973531066,0.0,0.37817819229208116,-0.1521433282697431,0.22836315646942595,-0.15214332826974036,0.0,0.0,0.0,19.12068860791459,0.0,-8.279455380486588,0.0,0.0,-0.03786650170764825,3.6291941024566103,-0.037866501707648034,-0.11427682656209504,9.78945886389829,8.503585277961314,0.0,0.0,-0.37817819229208116,8.279455380486588,17.804674217935325,-10.0,0.0,0.0,0.0,0.0,30.554218267586954,-7.115795981726779,0.0,0.0,-1.1541557323167018,0.0,-0.778644493191286,0.0,0.0,9.78945886389829,0.0,0.0,-17.804674217935325,0.0,10.000000000000009,0.0,0.0,0.0,19.43733638071863,0.0,0.054122216247318986,0.0,-1.100033516069383,0.0,0.0,0.0,0.0,7.115795981726779,0.22836315646942598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1541557323167018,0.0,0.0
"('Glucose',)",9.78945886389827,17.804674217935307,9.956609095304243,-19.43733638071859,0.0,-8.279455380486603,0.0,-19.120688607914584,0.7786444931912786,-8.279455380486603,0.0,-8.503585277961266,0.6065413487615349,0.22836315646942842,0.22836315646942637,8.39,0.0,-8.503585277961266,0.0,0.0,0.0,-5.45205257681089,8.503585277961278,8.404273021945453,0.2116629497353091,0.0,0.3781781922921036,-0.15214332826974086,0.2283631564694284,-0.15214332826973984,0.0,0.0,0.0,19.120688607914584,0.0,-8.279455380486604,0.0,0.0,-0.037866501707647174,3.629194102456582,-0.037866501707647174,-0.1142768265620937,9.789458863898268,8.503585277961266,0.0,0.0,-0.3781781922921036,8.279455380486606,17.80467421793531,0.0,0.0,-10.0,0.0,0.0,30.55421826758691,-7.115795981726695,0.0,0.0,-1.1541557323166982,0.0,-0.7786444931912783,0.0,0.0,9.789458863898268,0.0,0.0,-17.80467421793531,0.0,0.0,0.0,0.0,0.0,19.43733638071859,10.000000000000016,0.05412221624731887,0.0,-1.1000335160693795,0.0,0.0,0.0,0.0,7.115795981726698,0.22836315646942634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1541557323166982,0.0,0.0
