ID,Name,LB,UB,Sugar
EX_fru_e,D-Fructose exchange,0,1000,Fructose
EX_gal_e,D-Galactose exchange,0,1000,Galactose
EX_glc__D_e,D-Glucose exchange,-10,1000,Glucose
EX_lcts_e,Lactose exchange,0,1000,Lactose
EX_malt_e,Maltose exchange,0,1000,Maltose
EX_sucr_e,Sucrose exchange,0,1000,Sucrose
