model,stage,objective_value
e_coli_core,before_modification,0.8739215069684295
iJO1366,before_modification,0.9823718127269743
iMS520,before_modification,0.3143925004702746
iKS1119,before_modification,0.5280913198232563
e_coli_core,after_modification,0.21166294973531008
iJO1366,after_modification,0.2450258102941374
iMS520,after_modification,0.31439250047028094
iKS1119,after_modification,0.4915349323194248
