Reaction,Std
GLCpts,0
G6PDH2r,9.99412
GND,7.20232
PGI,9.52377
PFK,4.08799
TKT1,2.84752
TKT2,2.57241
TALA,2.84752
GAPD,2.27596
ENO,3.34797
PYK,56.3034
PDH,16.8335
CS,14.5251
ICDHyr,8.09234
AKGDH,3.83335
FUM,14.1976
MDH,27.2795
ME1,7.85311
PPCK-PPC,4.75917
ICL,12.1524
