Substrate,r,K
Fructose,0.9448136865591731,0.0004121934069618289
Galactose,0.8670419527678164,0.0005910387795925939
Glucose,0.9356897177779199,0.0004082128975449785
Lactose,0.9222184354817201,0.000502913107395735
Maltose,0.8605504659689063,0.00037543193274651877
Sucrose,0.9706137310689308,0.0004234491798174583
