time_h;gal;glc;mic
0.0;0.020631666666666666;0.017387222222222224;0.0015
0.03517718841999947;0.02052474383963968;0.01724811060431972;0.001524058860647259
0.38694907261999417;0.019365295847073274;0.015765188998013414;0.0017824355546906378
1.0667008492165002;0.016628125435445992;0.012456122995374094;0.0023735625684923167
1.7216624745731917;0.013372972253277817;0.00889419585285578;0.0030398780119476536
2.270183984929536;0.010312628344545063;0.005951499806191922;0.0036264264244396734
2.6970240448658362;0.007905714735361072;0.003946149345622491;0.004057379048562799
3.0501287198210503;0.006046751649992281;0.002607287179855388;0.0043695968035907685
3.3633987556310068;0.004591762087684483;0.0017036286141147712;0.004599795049041945
3.6766687914409633;0.00337391722332626;0.001057913271167786;0.004781603151206601
3.9689710996849255;0.002466497193652965;0.0006517943620446887;0.004909700598002557
4.252316135901665;0.0017859235306453974;0.00039567098647870833;0.0050010133787862935
4.536866349511496;0.0012726047772348222;0.00023432135484432055;0.0050667586321018416
4.829922370278817;0.0008876088970525893;0.00013424865778285141;0.005114011194443722
5.137669437584528;0.0006027266347419366;7.379609998476315e-05;0.005147640515513997
5.465900116339547;0.00039621420048968506;3.858192578741939e-05;0.005171172920643804
5.820428187190918;0.00025058406178114946;1.9002069586338697e-05;0.005187251679010682
6.207385763873915;0.00015141177060501158;8.722057150301709e-06;0.005197901131717691
6.633538109999725;8.670555231634575e-05;3.685284229851044e-06;0.005204685391838862
7.1067508585170245;4.660178263648749e-05;1.4123977613740646e-06;0.005208806770952029
7.636745591894808;2.3221542968744683e-05;4.82083273565134e-07;0.00521117072798222
8.0;1.4399720941663058e-05;2.3031568357677155e-07;0.0052120529443842175
