time_h;glc;frc;mic
0.0;0.015325000000000002;0.011751111111111111;0.0016
0.031916910138408326;0.015181320274627031;0.011662437512950381;0.0016194184333767486
0.3510860115224916;0.013688290749080798;0.010730893507474621;0.0018220460793939683
1.0944324862939996;0.009920268857220086;0.00828322160790933;0.0023414983641285364
1.7650252731502964;0.006509116364941877;0.0059026115416981875;0.00282550762949631
2.2584838115483206;0.004308768916474588;0.00423614676283791;0.003148640278788655
2.6502328995418014;0.0028989294175400864;0.003080133408105583;0.0033630500685437486
2.9920768807724567;0.0019540959764890713;0.0022430064339584548;0.0035119506088813097
3.333920862003112;0.0012652938110848102;0.0015814275063580029;0.003624784415969635
3.650805617451711;0.0008210791661604458;0.0011169414769365096;0.00370070990246
3.9571203876580707;0.0005293950599100027;0.0007848033359743568;0.0037528307421147876
4.264327392229037;0.000335748053738875;0.0005441673903544767;0.0037891140462086464
4.580225965279699;0.0002078542754173312;0.0003700581509168106;0.003814344686338943
4.911290857720469;0.0001247024465886947;0.0002453843467557068;0.0038317066283597464
5.263642017671436;7.195313212087353e-05;0.00015768821797761777;0.0038434390639815125
5.643648334371552;3.958579236631147e-05;9.752478635781664e-05;0.003851168487090416
6.058429830917379;2.055454120721483e-05;5.7573587338846706e-05;0.0038560952656933
6.516393079179761;9.947453554329522e-06;3.211725539578888e-05;0.003859107476881949
7.02790736893641;4.416525008923351e-06;1.6715248520998948e-05;0.003860855816829334
7.606254225176805;1.762485879944755e-06;7.982445921803127e-06;0.003861806805450899
8.0;9.423508810240245e-07;4.8247477702781605e-06;0.0038621390042933527
