time_h;glc;frc;mic
0.0;0.015325000000000002;0.011751111111111111;0.0016
0.031495067420711904;0.015183753212447337;0.0116428039858505;0.0016218090531555647
0.3464457416278309;0.013698922311546506;0.010504245232330314;0.0018510727171712651
1.0208748126037421;0.010155665696725226;0.007787298923948956;0.002398165314428607
1.6391982305623252;0.0067701569481473075;0.005191312661490368;0.002920901027825524
2.328989618445883;0.003523160719262796;0.0027015369053415505;0.003422249869654984
2.599666456574522;0.0025582381252289657;0.0019616404866718536;0.0035712376697240138
2.8703432947031615;0.0017967054792851326;0.0013777021677665081;0.00368882127104234
3.1724632436052307;0.0011710821122873278;0.0008979782069639863;0.003785419951285819
3.450605931189429;0.0007703836225544901;0.0005907251906569723;0.003847289355987711
3.721717539882484;0.0005036461242097982;0.0003861925981252731;0.0038884746627884954
3.99596101358649;0.0003237705033263061;0.0002482651327300355;0.003916248157996488
4.280217272053037;0.00020305823827862756;0.00015570374682144402;0.003934886601040524
4.580325705541826;0.00012331930752709877;9.456044925913344e-05;0.003947198601967834
4.9019830755082605;7.194378838728797e-05;5.5166032697767494e-05;0.003955131181867374
5.25133735248236;3.994735446147254e-05;3.0631373629475e-05;0.003960071555665372
5.635539544664123;2.0874471621496326e-05;1.60064101409422e-05;0.003963016482929872
6.063406242454846;1.0119389661698865e-05;7.759482694372106e-06;0.003964677109399456
6.546346814630372;4.466055327870021e-06;3.4245424069279236e-06;0.00396555000620036
7.099785118471991;1.7491336856424953e-06;1.341224423371763e-06;0.003965969509465117
7.745486288886216;5.86674724229536e-07;4.498583928549277e-07;0.003966148997648317
8.0;3.8104138988736467e-07;2.921800789884923e-07;0.003966180748234628
