time_h;glc;frc;mic
0.0;0.015325000000000002;0.011751111111111111;0.0016
0.03193756287089447;0.015181694063865228;0.01166266841395564;0.001619367897698787
0.3513131915798392;0.01369282426349003;0.010733751281267533;0.0018214283736698548
1.097811898568334;0.009922999972834148;0.008285055295130586;0.002341116883884023
1.7713928145052678;0.006511128016012868;0.0059040783914736505;0.002825216941612493
2.2671781947842664;0.004310896934088124;0.0042378290362056655;0.003148321875255224
2.660901792798886;0.002901159097501174;0.0030820382806867113;0.003362704580016414
3.004629943788668;0.001956117233230552;0.002244871893602082;0.003511625840810098
3.34835809477845;0.0012671696295297181;0.0015833124959237401;0.0036244701803174635
3.667118360205411;0.0008226144756107145;0.0011186206091548998;0.0037004413285975177
3.9753499591817603;0.0005305548629224398;0.0007861856135190613;0.003752618353502488
4.284541010325593;0.0003365820121306075;0.0005452540199356248;0.0037889535889521105
4.6025173486325865;0.000208430216839106;0.0003708824720075732;0.0038142277048401653
4.935781280376947;0.00012508502788854942;0.00024598953755651054;0.0038316241108311616
5.29048242177108;7.219701510665e-05;0.0001581178714490847;0.003843382799883077
5.673022961337245;3.973424717523031e-05;9.781878820078664e-05;0.0038511315280438645
6.090561675565015;2.0640190719116487e-05;5.776643709240713e-05;0.003856072003386436
6.5515516589096885;9.993811256579664e-06;3.223757609675328e-05;0.0038590935553937003
7.066419594493641;4.439742061447121e-06;1.678589374256227e-05;0.003860847977589062
7.648519613710166;1.7730479166690522e-06;8.02091917625256e-06;0.0038618027103243103
8.0;1.0180000070310134e-06;5.133915461471559e-06;0.003862106867814358
