GLCpts,G6PDH2r,GND,PGI,PFK,TKT1,TKT2,TALA,GAPD,ENO,PYK,PDH,CS,ICDHyr,AKGDH,FUM,MDH,ME1,ICL,T,MSE_GR_01,MSE_GR_02
1.0,0.4959984944574679,0.4959984944574679,0.48608611464967927,0.7477381962160276,0.1496983757261574,0.11814980932459708,0.1496983757261574,1.6023526143167597,1.4716139568742823,0.1758177444106817,0.9282532599166649,0.6007249575350323,0.6007249575350283,0.5064375661482045,0.5064375661482085,0.5064375661482124,2.545478853596157e-43,3.989058330713264e-15,1e-05,0.0964423245396329,0.06447295022570433
1.0,0.49599849445746896,0.49599849445746896,0.48608611464967827,0.7477381962160272,0.14969837572615774,0.11814980932459741,0.14969837572615774,1.6023526143167592,1.471613956874282,0.17581774441068315,0.9282532599166664,0.6007249575350321,0.6007249575350264,0.5064375661482025,0.5064375661482082,0.506437566148214,7.683248081437574e-43,5.7405270598508634e-15,1.0115911122238297e-05,0.09644232453963264,0.06447295022570411
1.0,0.4959984944574704,0.4959984944574704,0.4860861146496768,0.7477381962160269,0.14969837572615824,0.11814980932459791,0.14969837572615824,1.602352614316759,1.4716139568742816,0.17581774441068518,0.9282532599166685,0.6007249575350317,0.6007249575350234,0.5064375661481996,0.5064375661482078,0.506437566148216,2.2899331800225935e-42,8.226626998175996e-15,1.0233165783302449e-05,0.09644232453963233,0.0644729502257038
1.0,0.49599849445747235,0.49599849445747235,0.48608611464967477,0.7477381962160261,0.14969837572615888,0.11814980932459856,0.14969837572615888,1.6023526143167581,1.4716139568742808,0.17581774441068804,0.9282532599166712,0.600724957535031,0.6007249575350192,0.5064375661481954,0.506437566148207,0.5064375661482188,6.740100085100111e-42,1.1740896399081425e-14,1.0351779556301762e-05,0.0964423245396319,0.06447295022570339
1.0,0.4959984944574753,0.4959984944574753,0.486086114649672,0.7477381962160252,0.14969837572615985,0.11814980932459954,0.14969837572615985,1.6023526143167572,1.4716139568742799,0.1758177444106921,0.9282532599166754,0.6007249575350302,0.6007249575350134,0.5064375661481896,0.5064375661482062,0.5064375661482229,1.9594660006845216e-41,1.668824372155477e-14,1.0471768194855202e-05,0.09644232453963127,0.06447295022570279
1.0,0.4959984944574793,0.4959984944574793,0.486086114649668,0.7477381962160239,0.14969837572616118,0.11814980932460088,0.14969837572616118,1.602352614316756,1.4716139568742788,0.17581774441069778,0.9282532599166811,0.600724957535029,0.6007249575350054,0.5064375661481815,0.5064375661482051,0.5064375661482288,5.62728000992927e-41,2.362491322754913e-14,1.05931476351837e-05,0.09644232453963038,0.06447295022570194
1.0,0.49599849445748484,0.49599849445748484,0.4860861146496624,0.747738196216022,0.149698375726163,0.11814980932460274,0.149698375726163,1.6023526143167541,1.471613956874277,0.1758177444107057,0.928253259916689,0.6007249575350273,0.600724957534994,0.50643756614817,0.5064375661482033,0.5064375661482367,1.596649453629321e-40,3.331195111099221e-14,1.0715933998226711e-05,0.09644232453962913,0.06447295022570076
1.0,0.4959984944574926,0.4959984944574926,0.4860861146496547,0.7477381962160196,0.14969837572616562,0.11814980932460534,0.14969837572616562,1.6023526143167517,1.4716139568742743,0.1758177444107167,0.9282532599167002,0.600724957535025,0.6007249575349782,0.5064375661481543,0.5064375661482011,0.5064375661482479,4.4764221683803936e-40,4.6786439785963014e-14,1.084014359178331e-05,0.09644232453962738,0.06447295022569911
1.0,0.4959984944575033,0.4959984944575033,0.48608611464964396,0.7477381962160159,0.14969837572616923,0.11814980932460892,0.14969837572616923,1.6023526143167484,1.471613956874271,0.17581774441073197,0.9282532599167155,0.6007249575350218,0.6007249575349562,0.5064375661481324,0.5064375661481979,0.5064375661482634,1.240287518007914e-39,6.545602076022286e-14,1.09657929126781e-05,0.096442324539625,0.06447295022569684
1.0,0.49599849445751815,0.49599849445751815,0.48608611464962914,0.747738196216011,0.14969837572617417,0.11814980932461389,0.14969837572617417,1.6023526143167435,1.471613956874266,0.17581774441075307,0.9282532599167367,0.6007249575350172,0.600724957534926,0.5064375661481022,0.5064375661481935,0.5064375661482847,3.3965840432770315e-39,9.122381739611704e-14,1.1092898648952227e-05,0.09644232453962168,0.06447295022569369
1.0,0.4959984944575385,0.4959984944575385,0.4860861146496087,0.7477381962160041,0.14969837572618094,0.1181498093246207,0.14969837572618094,1.6023526143167364,1.4716139568742594,0.17581774441078202,0.9282532599167657,0.600724957535011,0.6007249575348843,0.5064375661480607,0.5064375661481874,0.5064375661483139,9.194944719688569e-39,1.26652880471678e-13,1.1221477682079803e-05,0.09644232453961714,0.06447295022568937
1.0,0.49599849445756644,0.49599849445756644,0.4860861146495808,0.7477381962159949,0.14969837572619024,0.11814980932463004,0.14969837572619024,1.6023526143167273,1.4716139568742503,0.1758177444108217,0.9282532599168055,0.6007249575350027,0.6007249575348275,0.5064375661480037,0.5064375661481789,0.506437566148354,2.460934693913028e-38,1.7518181239792572e-13,1.1351547089209991e-05,0.09644232453961091,0.06447295022568347
1.0,0.4959984944576045,0.4959984944576045,0.4860861146495427,0.7477381962159824,0.14969837572620298,0.11814980932464278,0.14969837572620298,1.602352614316715,1.471613956874238,0.1758177444108759,0.9282532599168599,0.6007249575349911,0.6007249575347497,0.5064375661479261,0.5064375661481675,0.506437566148409,6.512564671474426e-38,2.414064020401617e-13,1.148312414543511e-05,0.0964423245396024,0.06447295022567538
