,PFK,PFL,PGI,PGK_rev,PGL,ACALD_rev,AKGt2r,PGM_rev,PIt2r,ALCD2x_rev,ACALDt,ACKr_rev,PPC,ACONTa,ACONTb,ATPM,PPCK,ACt2r_rev,PPS,ADK1,AKGDH,ATPS4r_rev,PTAr,PYK,BIOMASS_Ecoli_core_w_GAM,PYRt2,CO2t,RPE_rev,CS,RPI_rev,SUCCt2_2,CYTBD,D_LACt2,ENO,SUCCt3,ETOHt2r_rev,SUCDi,SUCOAS,TALA_rev,THD2,TKT1_rev,TKT2_rev,TPI,EX_ac_e,EX_acald_e,EX_akg_e,EX_co2_e_rev,EX_etoh_e,EX_for_e,EX_fru_e_rev,EX_fum_e,EX_glc__D_e_rev,EX_gln__L_e,EX_glu__L_e,EX_h_e,EX_h2o_e_rev,EX_lac__D_e,EX_mal__L_e,EX_nh4_e_rev,EX_o2_e,EX_pi_e_rev,EX_pyr_e,EX_succ_e,FBA,FBP,FORt2,FORt_rev,FRD7,FRUpts2,FUM,FUMt2_2,G6PDH2r,GAPD,GLCpts,GLNS,GLNabc,GLUDy_rev,GLUN,GLUSy,GLUt2r,GND,H2Ot,ICDHyr,ICL,LDH_D,MALS,MALt2_2,MDH,ME1,ME2,NADH16,NADTRHD,NH4t,O2t,PDH,PGI_rev
"('Fructose',)",11.72886356046767,21.1728431451276,0.0,23.27539761012485,0.0,9.78426985420068,0.0,22.86761625540441,1.0027441641777908,9.784269854200684,0.0,10.072906001602718,0.7811084559403801,0.2940877697913441,0.2940877697913441,8.39,0.0,10.07290600160272,0.0,0.0,0.0,6.801675244129576,10.072906001602718,9.945010940349494,0.2725811194655155,0.0,0.4870206861490379,0.1959313086718145,0.2940877697913441,0.1959313086718114,0.0,0.0,0.0,22.86761625540441,0.0,9.784269854200684,0.0,0.0,0.0487647622723821,4.673703132467671,0.0487647622723818,0.1471665463994326,11.728863560467667,10.07290600160272,0.0,0.0,0.4870206861490379,9.784269854200684,21.172843145127604,12.0,0.0,0.0,0.0,0.0,36.71372640320856,8.285700633715127,0.0,0.0,1.4863303282215632,0.0,1.0027441641777908,0.0,0.0,11.728863560467667,0.0,0.0,21.172843145127604,0.0,12.00000000000002,0.0,0.0,0.0,23.27539761012485,0.0,0.0696989922473324,0.0,1.4166313359742309,0.0,0.0,0.0,0.0,8.285700633715127,0.2940877697913441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.486330328221563,0.0,0.0,0.0558791294904335
"('Glucose',)",11.728863560467625,21.17284314512757,11.944120870509542,23.275397610124767,0.0,9.784269854200687,0.0,22.86761625540438,1.0027441641777803,9.784269854200687,0.0,10.07290600160266,0.7811084559404115,0.2940877697913466,0.2940877697913441,8.39,0.0,10.07290600160266,0.0,0.0,0.0,6.801675244129568,10.072906001602677,9.945010940349428,0.2725811194655131,0.0,0.4870206861490646,0.1959313086718119,0.2940877697913466,0.1959313086718103,0.0,0.0,0.0,22.86761625540438,0.0,9.784269854200684,0.0,0.0,0.0487647622723808,4.673703132467638,0.0487647622723808,0.1471665463994311,11.728863560467625,10.07290600160266,0.0,0.0,0.4870206861490646,9.78426985420069,21.17284314512757,0.0,0.0,12.0,0.0,0.0,36.71372640320846,8.285700633715024,0.0,0.0,1.4863303282215568,0.0,1.00274416417778,0.0,0.0,11.728863560467625,0.0,0.0,21.17284314512757,0.0,0.0,0.0,0.0,0.0,23.275397610124763,12.000000000000009,0.0696989922473322,0.0,1.4166313359742246,0.0,0.0,0.0,0.0,8.285700633715024,0.294087769791344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4863303282215568,0.0,0.0,0.0
"('Fructose', 'Glucose')",11.7288635604677,21.172843145127707,5.94412087050958,23.27539761012492,0.0,9.78426985420073,0.0,22.86761625540452,1.0027441641777928,9.78426985420073,0.0,10.072906001602767,0.7811084559403813,0.294087769791343,0.2940877697913438,8.39,0.0,10.07290600160277,0.0,0.0,0.0,6.801675244129607,10.07290600160277,9.945010940349515,0.2725811194655168,0.0,0.48702068614904,0.1959313086718127,0.2940877697913429,0.1959313086718133,0.0,0.0,0.0,22.86761625540452,0.0,9.784269854200728,0.0,0.0,0.0487647622723805,4.673703132467698,0.0487647622723811,0.1471665463994321,11.7288635604677,10.07290600160277,0.0,0.0,0.48702068614904,9.784269854200728,21.172843145127707,6.0,0.0,6.0,0.0,0.0,36.71372640320867,8.285700633715157,0.0,0.0,1.4863303282215676,0.0,1.0027441641777928,0.0,0.0,11.7288635604677,0.0,0.0,21.172843145127707,0.0,6.000000000000036,0.0,0.0,0.0,23.27539761012492,6.000000000000038,0.069698992247332,0.0,1.4166313359742355,0.0,0.0,0.0,0.0,8.285700633715157,0.2940877697913438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4863303282215676,0.0,0.0,0.0
