GLCpts,G6PDH2r,GND,PGI,PFK,TKT1,TKT2,TALA,GAPD,ENO,PYK,PDH,CS,ICDHyr,AKGDH,FUM,MDH,ME1,ICL,T,MSE_GR_01,MSE_GR_02
1.0,0.5789157333625308,0.5789157333625308,0.40229299363057275,0.7158491656598397,0.17657308799433735,0.14348211455292448,0.17657308799433735,1.5633556935902153,1.4262252330130585,0.11596756595724167,0.8562996724258446,0.5127585359612257,0.5127585359612248,0.41386144109712414,0.41386144109712497,0.41386144109712586,3.0096261639654103e-29,8.853262802001575e-16,1e-05,0.12892302895375832,0.09084693129082781
1.0,0.5789157333625311,0.5789157333625311,0.4022929936305725,0.7158491656598397,0.1765730879943374,0.14348211455292456,0.1765730879943374,1.5633556935902153,1.4262252330130585,0.11596756595724202,0.8562996724258449,0.5127585359612256,0.5127585359612242,0.4138614410971237,0.41386144109712497,0.41386144109712625,6.236880475512415e-29,1.296920408818905e-15,1.0115911122238297e-05,0.12892302895375826,0.09084693129082777
1.0,0.5789157333625313,0.5789157333625313,0.4022929936305722,0.7158491656598395,0.17657308799433752,0.14348211455292464,0.17657308799433752,1.5633556935902149,1.4262252330130583,0.1159675659572425,0.8562996724258454,0.5127585359612254,0.5127585359612236,0.4138614410971229,0.4138614410971248,0.4138614410971267,1.2817291298928496e-28,1.891574248371534e-15,1.0233165783302449e-05,0.12892302895375818,0.0908469312908277
1.0,0.5789157333625319,0.5789157333625319,0.4022929936305717,0.7158491656598394,0.1765730879943377,0.1434821145529248,0.1765730879943377,1.563355693590215,1.426225233013058,0.11596756595724321,0.8562996724258461,0.5127585359612253,0.5127585359612226,0.4138614410971219,0.4138614410971247,0.4138614410971274,2.612405576334285e-28,2.7469789472363963e-15,1.0351779556301762e-05,0.12892302895375812,0.09084693129082762
1.0,0.5789157333625325,0.5789157333625325,0.402292993630571,0.7158491656598391,0.17657308799433794,0.14348211455292506,0.17657308799433794,1.5633556935902146,1.4262252330130578,0.11596756595724421,0.8562996724258471,0.5127585359612251,0.5127585359612211,0.4138614410971205,0.41386144109712447,0.4138614410971284,5.281308485902668e-28,3.972195900587286e-15,1.0471768194855202e-05,0.12892302895375798,0.09084693129082749
1.0,0.5789157333625337,0.5789157333625337,0.40229299363057,0.7158491656598388,0.1765730879943383,0.14348211455292542,0.1765730879943383,1.5633556935902144,1.4262252330130576,0.11596756595724564,0.8562996724258486,0.5127585359612248,0.512758535961219,0.4138614410971185,0.4138614410971242,0.4138614410971299,1.059106557640926e-27,5.719665752605237e-15,1.05931476351837e-05,0.1289230289537578,0.09084693129082735
1.0,0.578915733362535,0.578915733362535,0.40229299363056853,0.7158491656598382,0.17657308799433874,0.14348211455292587,0.17657308799433874,1.563355693590214,1.426225233013057,0.11596756595724765,0.8562996724258506,0.5127585359612243,0.5127585359612161,0.41386144109711553,0.41386144109712375,0.41386144109713197,2.1070512653477666e-27,8.201557510686591e-15,1.0715933998226711e-05,0.12892302895375754,0.09084693129082709
1.0,0.578915733362537,0.578915733362537,0.40229299363056653,0.7158491656598376,0.17657308799433943,0.14348211455292656,0.17657308799433943,1.563355693590213,1.4262252330130565,0.11596756595725052,0.8562996724258535,0.5127585359612238,0.5127585359612121,0.4138614410971114,0.41386144109712314,0.41386144109713485,4.158986855872931e-27,1.1711930893318918e-14,1.084014359178331e-05,0.12892302895375718,0.09084693129082677
1.0,0.5789157333625399,0.5789157333625399,0.4022929936305637,0.7158491656598367,0.17657308799434038,0.1434821145529275,0.17657308799434038,1.5633556935902122,1.4262252330130556,0.11596756595725456,0.8562996724258575,0.512758535961223,0.5127585359612064,0.41386144109710565,0.4138614410971223,0.41386144109713896,8.145471254773993e-27,1.665665154580649e-14,1.09657929126781e-05,0.12892302895375668,0.09084693129082627
1.0,0.5789157333625438,0.5789157333625438,0.4022929936305597,0.7158491656598354,0.17657308799434168,0.14348211455292884,0.17657308799434168,1.5633556935902109,1.426225233013054,0.11596756595726025,0.8562996724258632,0.5127585359612217,0.5127585359611981,0.4138614410970975,0.4138614410971211,0.4138614410971447,1.583069119713668e-26,2.3593601929080428e-14,1.1092898648952227e-05,0.12892302895375596,0.09084693129082559
1.0,0.5789157333625494,0.5789157333625494,0.4022929936305541,0.7158491656598335,0.17657308799434354,0.14348211455293067,0.17657308799434354,1.5633556935902089,1.4262252330130523,0.11596756595726816,0.8562996724258711,0.5127585359612199,0.5127585359611866,0.41386144109708606,0.41386144109711936,0.4138614410971526,3.053351914151766e-26,3.328650711786133e-14,1.1221477682079803e-05,0.12892302895375496,0.0908469312908247
1.0,0.5789157333625571,0.5789157333625571,0.4022929936305464,0.7158491656598308,0.17657308799434615,0.14348211455293328,0.17657308799434615,1.5633556935902064,1.4262252330130498,0.1159675659572792,0.8562996724258822,0.5127585359612176,0.5127585359611708,0.4138614410970703,0.41386144109711703,0.41386144109716383,5.845007295819392e-26,4.677668983632666e-14,1.1351547089209991e-05,0.1289230289537536,0.09084693129082337
1.0,0.578915733362568,0.578915733362568,0.4022929936305356,0.7158491656598274,0.17657308799434976,0.14348211455293688,0.17657308799434976,1.563355693590203,1.4262252330130465,0.1159675659572945,0.8562996724258977,0.5127585359612145,0.512758535961149,0.41386144109704837,0.41386144109711387,0.4138614410971793,1.1106108692605506e-25,6.5478338892438e-14,1.148312414543511e-05,0.12892302895375163,0.09084693129082155
