Substrate,r,K
Fructose,0.7702688414383534,0.02037397555479793
Galactose,0.706756890631359,0.029209517627434654
Glucose,0.7628167888877097,0.020176865236514324
Lactose,0.751814528581949,0.024856987470967533
Maltose,0.7014565193392321,0.018553857054744737
Sucrose,0.7913426122598626,0.020931386770812396
