,GLCpts,G6PDH2r,GND,PGI,PFK,TKT1,TKT2,TALA,GAPD,ENO,PYK,PDH,CS,ICDHyr,AKGDH,FUM,MDH,ME1,ICL
Flux_Average_GR_01,1.0,0.31411100000000003,0.286333,0.671833,0.8262,0.122,0.1012,0.122,1.67894,1.61995,1.105,1.416,0.923,0.658611,0.590944,0.836112,0.994722,0.0887778,0.338222
Flux_Average_GR_02,1.0,0.303722,0.247056,0.684667,0.7915000000000001,0.0725556,0.0444444,0.0725556,1.6680000000000001,1.5493299999999999,0.8113330000000001,1.46166,0.8266110000000001,0.527444,0.488333,0.736889,0.891333,0.14188900000000002,0.300833
