,ACALD_rev,ACALDt_rev,ACKr_rev,ACONTa,ACONTb,ACt2r_rev,ADK1,AKGDH,AKGt2r_rev,ALCD2x_rev,ATPM,ATPS4r,ATPS4r_rev,BIOMASS_Ecoli_core_w_GAM,CO2t_rev,CS,CYTBD,D_LACt2_rev,ENO,ETOHt2r_rev,EX_ac_e,EX_acald_e,EX_akg_e,EX_co2_e,EX_etoh_e,EX_for_e,EX_fru_e_rev,EX_glc__D_e_rev,EX_glu__L_e,EX_h2o_e,EX_h_e,EX_lac__D_e,EX_nh4_e_rev,EX_o2_e_rev,EX_pi_e_rev,EX_pyr_e,EX_succ_e,FBA,FBA_rev,FBP,FORt2,FORt_rev,FRD7,FRUpts2,FUM,FUM_rev,G6PDH2r,GAPD,GLCpts,GLNS,GLUDy,GLUDy_rev,GLUN,GLUSy,GLUt2r_rev,GND,H2Ot_rev,ICDHyr,ICL,LDH_D_rev,MALS,MDH,MDH_rev,ME1,ME2,NADH16,NADTRHD,NH4t,O2t,PDH,PFK,PFL,PGI,PGI_rev,PGK_rev,PGL,PGM_rev,PIt2r,PPC,PPCK,PPS,PTAr,PYK,PYRt2_rev,RPE,RPE_rev,RPI_rev,SUCCt2_2,SUCCt3,SUCDi,SUCOAS_rev,TALA,TALA_rev,THD2,TKT1,TKT1_rev,TKT2,TKT2_rev,TPI,TPI_rev,Protein
Fructose_ext,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Glucose_ext,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
