,EX_xyl-D(e),EX_man(e),EX_rib-D(e),EX_arab-L(e),EX_rmn(e),EX_cellb(e),EX_melib(e),EX_raffin(e),EX_malttr(e),EX_malthx(e),EX_lnb(e),EX_gnb(e),EX_na1(e),EX_ni2(e),EX_cd2(e),EX_tungs(e),EX_ch4s(e),EX_met-L(e),EX_leu-L(e),EX_ile-L(e),EX_val-L(e),EX_his-L(e),EX_thr-L(e),EX_trp-L(e),EX_phe-L(e),EX_arg-L(e),EX_tyr-L(e),EX_lys-L(e),EX_gly(e),EX_ala-L(e),EX_ser-L(e),EX_pro-L(e),EX_glu-L(e),EX_gln-L(e),EX_asp-L(e),EX_asn-L(e),EX_cgly(e),EX_metsox-S-L(e),EX_skm(e),EX_ptrc(e),EX_spmd(e),EX_btn(e),EX_4abz(e),EX_ncam(e),EX_nac(e),EX_so4(e),EX_h2o(e),EX_h(e),EX_h2(e),EX_h2s(e),EX_co2(e),EX_ac(e),EX_etoh(e),EX_acald(e),EX_lac-L(e),EX_succ(e),EX_pyr(e),EX_h2o2(e),EX_for(e),EX_ura(e),EX_xan(e),EX_hxan(e),ASNTRAT,ALATRS,ASPT,ALAR,ASPTRS(Asn),CBPS,P5CR,P5CRx,ARGSL,PROTRS,ARGSS,ACGS,OCBT,G5SD,MTAN,GLU5K,ARGTRS,G5SADr,SPMS,EHGLAT,ASPK,THRS,SERD_L,THRAL,HSDx,HSK,PGCD,PSERT,THRAr,PSP_L,GCCc,GLYCK,AMPTASECG,CYSDS,CGS,AHSERL,CYSTRS,CYSTS,CYSTL,IG3PS,HISTRS,HISTD,HSTPT,IGPDH,PRMICI,PRAMPC,PRATPP,ATPPRT,HISTP,HISDr,DHDPS,DHDPRy,LYSTRS,THDPS,DAPE,DAPDC,SDPDS,METGL,MHPGLUT,MTHFR_new,SHSL2r,AHCYSNS,METSOXR1,METAT,HSST,RHCCE,ACONIs,ACONMT,DNAMTn2r,DHPTDCs2,MTHTHFSs,AhCi,AHSERL2,GHMT2,METS,PPND,PSCVTi,SHK3D,PRAI,TRPTRS,TRPS2,TRPS1,TRPS3,CHORM,ANS,DDPA,IGPS,TYRTRS,CHORS,DHQS,SHKK,PPNDH,ANPRT,ANS2,DHQD,ACGK,ORNTAC,ACHBS,ACLS,DHAD2,LEUTRS,VALTRS,KARA2,ILETRS,PDHcr,DHAD1,IPPS,THRD_L,IPMD,OMCDC,OIVD2,GLUTRS,THRTRS,GLYTRS,SERTRS,ASPTRS,METTRS,PHETRS,GLYALDDr,ALDD2x,PYK,HEX7,GAPD,ENO,FBA,GLUK_syn,HEX1,GALM1,PGI,G6PI,G6PI3,PPGKr,G6PBDH,PRPPS,RBI,G6PDH2,PGL,RBK,DRBK,GND,RPE,FBA3,GNK,F6PPK,PK,TKT2,ICDHy,FRD2,FRD,FRD3,FRD7,SUCOAS,ACONTa,ACONTb,CS,AKGDH,PFL,PTAr,PPC,LDH_L,LCARR,LCARS,13BGHe,AAMYL,GLCP2,GLCP,GLDBRAN2,GLCS1,GLBRAN2,MALT,IMALT,GLGC,SUCPHOS,BGLA,SUCR,GLNS,GLUSy,GLNTRAT,GLUTRS(Gln),NADS2,GF6PTA,GLUCYS,RAFH,GALK,RAFGH,GALS--,GALS3,LACZ,GALU,GALT,LNBP_new,GNBP_new,ACGALK,ACGALK_new,UDPG4E,UAG4E,UGLT,UGLT_new,G6PDA,AGDC,ACGAMPM,AMALT1,AMALT2,AMALT4,PTA2,OBTFL,PPAKr,XYLI2,XYLI1,XYLK,PGMT,PPM,PPM2,FBA2,ARAI,RBP4E,RBK_L1,RBK_Dr,ARABR,FFSD,PGLYCP,G3PD2,MICITD,UAGCVT,UAPGR,UAMAS,UAMAGS,UAAGOS,UGODDS,PAPPT2_new,UAGPT2_new,ALAALAr,tempname_new,PPTGS_BL,UDCPDP,FACOAL140,FACOAL140_iso,FACOAL160,FACOAL161,FACOAL180,FACOAL181,FACOAL182,FACOAE140,FACOAE141,FACOAE160,FACOAE161,FACOAE180,FACOAE181,FACOAE182,CHTBNASE,PGAMTi,G1PACT,UAGDP,BACCL,ACPS1,ACGAMT,ACOATA,ACCOAC,MCOATA,KAS14,KAS15,3OAS60,3OAS80,3OAS100,3OAS120,T2DECAI,3OAS121,3OAS140,3OAS141,3OAS160,3OAS161,3OAS180,3OAS181,3OAR40,3OAR60,3OAR80,3OAR100,3OAR120,3OAR121,3OAR140,3OAR141,3OAR160,3OAR161,3OAR180,3OAR181,3HAD40,3HAD60,3HAD80,3HAD100,3HAD120,3HAD121,3HAD140,3HAD141,3HAD160,3HAD161,3HAD180,3HAD181,EAR40x,EAR40y,EAR60x,EAR60y,EAR80x,EAR80y,EAR100x,EAR100y,EAR120x,EAR120y,EAR121x,EAR121y,EAR140x,EAR140y,EAR141x,EAR141y,EAR160x,EAR160y,EAR161x,EAR161y,EAR180x,EAR180y,EAR181x,EAR181y,KAS1,FAS182ACP_BIF,AACPS_fa1,CFAS_181,MI1PP,UDPGALM,TDPDRR,TDPDRE,TDPGDH,UAG2E,CPSSS_BIF,G3POA_BIF,AGPATr_BIF,PAP_CS,PHCYT_BIF,CDGPT_BIF,PGPPH_BIF,CPD15S_BIF,CLPNS2_BIF,GPDDA1,GPDDA2,UGALT_BIF,CPD15L_BIF,LPAS_BIF,G3PCT,ACGAMK,HETZK,AMPMS2,PMPK,TMPPP,TMDPPK,HMPK2,HMPK4,HMPK3,HMPK1,TMDPK,QULNS,ASPO5,NNDPR,NAPRT,NNAT,NADK,NADTRHD,NMNDA,NNAM,NADDP,PNTK,PTTt,PTTR,PTTK,PTPAT,DPCOAK,PYDXNK,PYDXK,PYDAMK,PLPS,4HTHRS,OHPBAT,PYDXPP,DXPS,DXPRIi,MEPCT,CDPMEK,MECDPS,MECDPDH4,MECDPDH2,IPDPS,DMPPS,OCTDPS,DMATT,GRTT,FRTT,HEXTT,UDCPDPS,RBFK,FMNAT,ACPpds,UPP3MT,SHCHD2,SHCHF,CBLAT,UPPDC1,PPPGO3,CPPPGO2,CPPPGO,GTPDPK,GTPDPDP,E4PD,DPR,NADS1,FOLR2,DHFR,ADCS,DHFS,THFGLUS,FMETTRS,GTPCI,DNTPPA,DNMPPA,DHNPA2,DHNPA,HPPK2,HPPK,FOLD3,DHPS2,DHPS,MTHFR2,MTHFR3,MTHFC,MTHFD,FTHFCL,MI3PP,MI4PP,RNDR1,RNDR2,RNDR3,RNDR4,ADK1,DADK,HXPRT,XPPT,GUAPRT,DCTPD,ADPT,TMDS,UPPRTr,DUTPDP,DTMPK,GK1,DGK1,NTD6,NTD1,NT5C,NRPH_AZ,NTD7,NTD11,NTD10,NTD8,NTD9,NTD2,NTD4,NTD3,NTD5,ADA,NTPP8,NTPP4,G1PTT,TRDR,THIORDXi,GLUPRT,PRAGS,GART,PRFGS,PRAIS,AIRCr,PRASCS,ADSL2,ADSL1,AICART,ADSS,ADK2,UPPT,DTPPT,GPPT,IMPD,NTP1,NTP2,NTP3,NTP4,NTTP11,NTPP10,NTPP6,NTPP7,NTPP5,NTPP2,NTPP3,NTPP1,GMPS2,GK2,NTPTP1,NTPTP2,PPK2,ADPRDP,OMPDC,GNNUC,ADNUC,INSH,XTSNH,URIH,CYTDH,ASPCT,CTPS2,DHORD,CTPS1,DCTPD2,RNTR1,RNTR2,RNTR3,RNTR4,URIDK1r,DHORDfum,DHORD2,DHORD5,DHORD_NAD,CSND,YUMPS,FRUabc,RIBabc,XYLabc,GLCt2,GLCpts,RAFFINabc,MELIBabc,GALt2,SUCRt2,SUCRt2Na,LCTSt,LCTsabc,MALTTTRabc,MALTHXabc,MALTTRabc,MALTabc,ARBTt2r,ARBabc,GLUabc,LNBabc,GNBabc,SUCCt3,SPMDabc,PTRCabc,URAt2,XANt2,CLtex,COBALT2tex,MG2tex,HXANt2r,NH4t,MN2t3,FE2abc,FE3abc,MOBDabc,Kt2,PIabc,PIt2r,VALabc,LEUabc,ILEabc,THRabc,HISabc,GLNabc,TRPt2r,PHEt2,TYRt2,ILEt2r,CYSt2,ARGabc,ARGt2r,LYSt5r,SERt2r,GLYt2r,ALAt2r,ALA_Dt6,ASPt2r,ASNt2r,CBL1abc,CH4St,H2St,MQN4t,NCAMUP,NACt,GLYCt,UREAt,L-LACt2r,CA2abc,FOLt,VALt2,LEUt2r,Znabc,NAt3,PROt4,PROt2r,SKMt2,ACALDt,METabc,METSOX1abc,BTNabc,THMabc,4AHMMPabc,RIBFLVt3,CU2abc,HG2abc,CD2abcpp,CGLYabc,GTHRDabc,H2O2t,BILEt4,BILEt_new,BILE_new,ZN2t3,NI2t3,CD2t3,COBALT2t3,4ABZt2r,FORt3,O2t,H2CO3D,MALTAT,FRDO,ABFA,FLDO,ADKd,NOX,PPA2,ALKP,PPA,HCO3E,DHNAOT4,biomass_BIF,ATPM,SK_ahcys,DM_MTHTHF,DM_GCALD,DM_hpglu,DM_Uracil,EX_glc-D(e)_rev,EX_gal(e)_rev,EX_fru(e)_rev,EX_malt(e)_rev,EX_sucr(e)_rev,EX_lcts(e)_rev,EX_nh4(e)_rev,EX_pi(e)_rev,EX_mg2(e)_rev,EX_k(e)_rev,EX_fe2(e)_rev,EX_fe3(e)_rev,EX_zn2(e)_rev,EX_ca2(e)_rev,EX_cu2(e)_rev,EX_mn2(e)_rev,EX_mobd(e)_rev,EX_cobalt2(e)_rev,EX_cl(e)_rev,EX_cys-L(e)_rev,EX_thm(e)_rev,EX_ptt(e)_rev,EX_ribflv(e)_rev,EX_fol(e)_rev,EX_cbl1(e)_rev,EX_mqn4(e)_rev,ALATA_L_rev,ASPTA_rev,ACOTA_rev,ASAD_rev,CYSTGLr_rev,SDPTA_rev,TYRTA_rev,PHETA1_rev,AGPR_rev,ILETA_rev,LEUTA_rev,KARA1_rev,IPPMIb_rev,IPPMIa_rev,VALTA_rev,PGM_rev,PGK_rev,TPI_rev,TALA_rev,TKT1_rev,ALCD2x_rev,PTAr_rev,ACKr_rev,ACALD_rev,GLUDy_rev,UDPG4E_rev,ALCD19_rev,XYLI2_rev,PGMT_rev,GLUR_rev,G3PD1_rev,ATPS4_rev,FTHFL_rev,IMPC_rev,DHORTS_rev,ORPT_rev,URIDK2r_rev,H2Ot_rev,CO2t_rev,ACt2r_rev,ETOHt2r_rev,SK_ACP_rev
glc-D[e],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xyl-D[e],-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
